FREQ;GEO;UNIT;OBJECTIV\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;EU28;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.852 ,0 ,0 ,0 ,0 
A;FR;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4.852 ,0 ,0 ,0 ,0 
A;HU;MEUR_KP_PRE;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EU28;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;FR;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;HU;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;AT;MEUR_KP_PRE;OBJ02,0 ,0 ,0.78 ,0.561 ,0.601 ,0.502 ,0.413 ,0.34 ,0.451 ,0.124 ,0.057 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;BE;MEUR_KP_PRE;OBJ02,0 ,0 ,34.975 ,35.201 ,21.963 ,20.877 ,16.66 ,3.004 ,3.199 ,3.095 ,3.013 ,4.092 ,7.478 ,1.925 ,2.152 ,0.047 ,0 ,0 
A;CZ;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,3.222 ,3.011 ,3.937 ,5.518 ,14.192 ,14.035 ,13.746 ,11.541 ,3.991 ,0 ,0 ,0 ,0 ,0 
A;DE;MEUR_KP_PRE;OBJ02,0 ,0 ,39.163 ,51.567 ,50.469 ,67.721 ,38.666 ,41.192 ,53.36 ,61.4 ,63.103 ,60.784 ,65.566 ,63.144 ,48.866 ,0.022 ,0 ,0 
A;DK;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,1.218 ,1.158 ,1.091 ,1.051 ,0.987 ,0 ,39.071 ,39.72 ,35.706 ,31.921 ,34.122 ,65.777 ,34.418 ,39.399 ,40.715 
A;ES;MEUR_KP_PRE;OBJ02,0 ,0 ,1.249 ,1.569 ,1.887 ,1.582 ,1.954 ,3.793 ,1.948 ,5.37 ,1.021 ,3.844 ,0.163 ,0 ,0 ,0 ,0 ,0 
A;EU28;MEUR_KP_PRE;OBJ02,0 ,0 ,680.469 ,644.443 ,738.807 ,472.553 ,418.171 ,399.351 ,331.949 ,242.82 ,490.366 ,433.277 ,410.366 ,423.518 ,359.381 ,212.219 ,44.857 ,44.912 
A;FR;MEUR_KP_PRE;OBJ02,0 ,0 ,4.715 ,8.565 ,118.855 ,108.578 ,126.475 ,114.792 ,120.425 ,8.903 ,21.479 ,14.996 ,14.322 ,13.572 ,21.232 ,15.403 ,4.1 ,2.583 
A;HU;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,10.017 ,11.823 ,7.463 ,8.42 ,9.742 ,6.454 ,6.624 ,9.367 ,6.156 ,24.194 ,0 ,0 ,0 ,0 
A;IE;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.472 ,0.413 ,0.319 ,0.371 ,1.329 ,0.512 ,0.384 ,0.368 
A;IT;MEUR_KP_PRE;OBJ02,0 ,0 ,7.408 ,8.863 ,5.971 ,8.511 ,8.552 ,29.86 ,11.842 ,12.111 ,12.359 ,14.415 ,9.298 ,10.695 ,4.686 ,0.112 ,0 ,0 
A;LT;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,2.242 ,2.604 ,1.142 ,1.071 ,1.268 ,0.658 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;LU;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.023 ,0.002 ,0.02 ,0.061 ,0.014 ,0.016 ,0 ,0 
A;LV;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,2.228 ,3.688 ,2.951 ,2.492 ,0 ,0.894 ,0.72 ,0.329 ,0.362 ,0.654 ,1.306 ,0.792 ,0.969 ,1.24 
A;NL;MEUR_KP_PRE;OBJ02,0 ,0 ,20.784 ,19.287 ,17.911 ,14.464 ,11.916 ,12.262 ,8.607 ,9.115 ,210.599 ,198.783 ,189.45 ,187.028 ,189.388 ,160.898 ,0.006 ,0.006 
A;PL;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,12.946 ,12.349 ,13.297 ,14.297 ,2.884 ,0.65 ,27.091 ,25.132 ,24.763 ,25.719 ,24.63 ,0 ,0 ,0 
A;SE;MEUR_KP_PRE;OBJ02,0 ,0 ,1.102 ,1.186 ,0.235 ,0.827 ,0.096 ,0.267 ,1.023 ,0.333 ,0.278 ,0.433 ,0 ,0 ,0 ,0 ,0 ,0 
A;SI;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,0.022 ,0.021 ,0.011 ,0.017 ,0.015 ,0.014 ,0.022 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SK;MEUR_KP_PRE;OBJ02,0 ,0 ,0 ,0 ,0 ,0.553 ,0.468 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;UK;MEUR_KP_PRE;OBJ02,0 ,0 ,570.293 ,516.428 ,489.081 ,214.351 ,183.119 ,161.039 ,102.994 ,80.593 ,90.038 ,53.438 ,56.557 ,62.034 ,0 ,0 ,0 ,0 
A;AT;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;BE;PC_GDP;OBJ02,0 ,0 ,0.01 ,0.01 ,0.006 ,0.006 ,0.004 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.002 ,0 ,0.001 ,0 ,0 ,0 
A;CZ;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0.002 ,0.002 ,0.003 ,0.003 ,0.008 ,0.009 ,0.008 ,0.007 ,0.002 ,0 ,0 ,0 ,0 ,0 
A;DE;PC_GDP;OBJ02,0 ,0 ,0.001 ,0.002 ,0.002 ,0.002 ,0.001 ,0.001 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0 ,0 ,0 
A;DK;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.015 ,0.015 ,0.013 ,0.012 ,0.013 ,0.024 ,0.012 ,0.014 ,0.014 
A;ES;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EU28;PC_GDP;OBJ02,0 ,0 ,0.005 ,0.005 ,0.006 ,0.004 ,0.003 ,0.003 ,0.002 ,0.002 ,0.004 ,0.003 ,0.003 ,0.003 ,0.003 ,0.001 ,0 ,0 
A;FR;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0.006 ,0.005 ,0.006 ,0.005 ,0.006 ,0 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0 ,0 
A;HU;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0.01 ,0.011 ,0.007 ,0.008 ,0.009 ,0.006 ,0.006 ,0.009 ,0.006 ,0.022 ,0 ,0 ,0 ,0 
A;IE;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0 ,0 ,0 
A;IT;PC_GDP;OBJ02,0 ,0 ,0 ,0.001 ,0 ,0 ,0 ,0.002 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0 ,0 ,0 ,0 
A;LT;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0.008 ,0.008 ,0.003 ,0.003 ,0.003 ,0.002 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
